trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,0,-281.89819834739006,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 5}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-237.64500210514458,"{0: 11, 1: 2, 2: 6, 3: 3, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-91.5515676096116,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-134.43228330472408,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-82.09645180214285,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,8,-46.91783912173595,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-80.90577720708089,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-54.41979676748437,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-102.28693665411976,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-50.7378768073347,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-111.57451941859259,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-40.11921567960185,"{0: 24, 1: 0, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,1,-67.19900445117298,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-129.99641976943627,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,20.183832216961203,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,2,-40.872097497206674,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,2,-17.89234875944703,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,18.34838042912571,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,27.117672387371034,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.0}",20,0,27.149106541315398,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,13,-23.054844828842498,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-0.659729322886071,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,23.0773488660537,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,27.730571007546658,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,3,17.913876586348138,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,12,12.976092123133302,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",30,1,38.187952877272764,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,2,-9.23279916678487,"{0: 21, 1: 0, 2: 0, 3: 2, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,14,23.96798896339978,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,14,9.87867033402853,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
