trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,0,-69.86550382261579,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-78.62137039681093,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",20,0,-118.8110855581312,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",30,0,-208.89494403640737,"{0: 15, 1: 5, 2: 6, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-38.37656865569106,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",20,6,-117.10247674177205,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",30,0,-112.40505095370366,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.92274469442792}",30,0,-122.50934755676806,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",20,0,-113.00360814160254,"{0: 9, 1: 1, 2: 8, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",20,0,-112.47747238964382,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",20,8,-61.687282317533985,"{0: 6, 1: 3, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",20,0,-97.17358947659046,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",30,0,-204.9714544676824,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689781}",25,0,-83.5036636696619,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412883}",20,0,-93.44154343738556,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948754}",25,0,-72.62153171009109,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839266}",30,0,-273.2909341774571,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 5}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500874}",20,0,-60.771788725034725,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355865}",20,5,-83.99396816136495,"{0: 8, 1: 3, 2: 2, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.8179069375972307}",20,0,-109.5991408971732,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212583}",25,10,-56.944936468040694,"{0: 7, 1: 3, 2: 5, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.8016305895390458}",20,0,-85.91884920417831,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436553}",35,0,-135.3915512108414,"{0: 24, 1: 3, 2: 6, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",25,0,-100.64575403013278,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991465}",25,0,-108.07901229544836,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",30,0,-112.97521130652656,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",25,0,-169.0942762973165,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.7547192872036325}",20,0,-95.15787216358918,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",25,0,-35.26368977617139,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",25,0,-200.40334856732034,"{0: 14, 1: 5, 2: 1, 3: 1, 4: 4}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543974}",25,12,-4.317219451212137,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
