trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-405.362975416103,"{0: 13, 1: 7, 2: 6, 3: 2, 4: 7}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,14,-112.6723904864819,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-235.35541278949498,"{0: 13, 1: 5, 2: 6, 3: 4, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,3,-79.70701995137584,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,4,-113.70605563705358,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.01028134135956,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,7,10.934105413516951,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-80.63157017071916,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.72127647008493,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-124.57001110350598,"{0: 16, 1: 4, 2: 8, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.40223782804614,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",1
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-118.70641222718346,"{0: 17, 1: 3, 2: 8, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.96774823099996,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,6,-84.85663325690776,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.5991844149212,"{0: 8, 1: 6, 2: 10, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-41.00040662044025,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.77921727128418,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.16997643914144,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,12,-30.35731486413428,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.40067501454844,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-185.25533442402744,"{0: 19, 1: 8, 2: 5, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.80871179354557,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-108.39959459311328,"{0: 13, 1: 1, 2: 10, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-83.98072310891074,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-115.36958964088033,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-123.34068547114705,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-176.68570778373888,"{0: 15, 1: 6, 2: 6, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-203.6440462513269,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-247.7967112553123,"{0: 9, 1: 6, 2: 5, 3: 1, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-198.0794924335728,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
